,*Thu Aug 31 11:39:07 2023_5.7_5,
Wavenumbers [1/cm],Absorbance,
3708.924,0.02878736,
3708.442,0.02912409,
3707.960,0.02942389,
3707.477,0.02970032,
3706.995,0.0299712,
3706.513,0.03024943,
3706.031,0.03054012,
3705.549,0.03083912,
3705.067,0.0311353,
3704.585,0.0314124,
3704.103,0.03164834,
3703.621,0.03181851,
3703.138,0.03189649,
3702.656,0.03185799,
3702.174,0.03169138,
3701.692,0.03140971,
3701.210,0.03106057,
3700.728,0.03071121,
3700.246,0.03042674,
3699.764,0.03024486,
3699.281,0.03016776,
3698.799,0.03017231,
3698.317,0.03022696,
3697.835,0.03030344,
3697.353,0.03038438,
3696.871,0.03046662,
3696.389,0.03055851,
3695.907,0.03067396,
3695.425,0.03082254,
3694.942,0.0310015,
3694.460,0.03119286,
3693.978,0.03136725,
3693.496,0.03149336,
3693.014,0.03154045,
3692.532,0.03148728,
3692.050,0.03132428,
3691.568,0.03105919,
3691.086,0.03071645,
3690.603,0.03033636,
3690.121,0.02997597,
3689.639,0.02969895,
3689.157,0.02956318,
3688.675,0.02960212,
3688.193,0.02980662,
3687.711,0.03012807,
3687.229,0.03050341,
3686.746,0.03088201,
3686.264,0.03123289,
3685.782,0.03153925,
3685.300,0.03179255,
3684.818,0.03198591,
3684.336,0.03211119,
3683.854,0.03216003,
3683.372,0.03212338,
3682.890,0.03199592,
3682.407,0.03177815,
3681.925,0.03148129,
3681.443,0.03113128,
3680.961,0.03076672,
3680.479,0.03044424,
3679.997,0.03022818,
3679.515,0.03017064,
3679.033,0.0302929,
3678.550,0.03056611,
3678.068,0.03092122,
3677.586,0.03125668,
3677.104,0.03146692,
3676.622,0.03146172,
3676.140,0.03119116,
3675.658,0.03069823,
3675.176,0.03015704,
3674.694,0.02980774,
3674.211,0.02976161,
3673.729,0.02994555,
3673.247,0.03021474,
3672.765,0.03046261,
3672.283,0.03063595,
3671.801,0.03071982,
3671.319,0.03072998,
3670.837,0.03070918,
3670.354,0.03072691,
3669.872,0.03085158,
3669.390,0.0311047,
3668.908,0.03142585,
3668.426,0.03171356,
3667.944,0.03188892,
3667.462,0.03192519,
3666.980,0.03183518,
3666.498,0.03164754,
3666.015,0.03139825,
3665.533,0.03112467,
3665.051,0.03086882,
3664.569,0.030671,
3664.087,0.03056032,
3663.605,0.03055132,
3663.123,0.03063477,
3662.641,0.03078058,
3662.159,0.03094097,
3661.676,0.03106625,
3661.194,0.03112,
3660.712,0.03108602,
3660.230,0.03097419,
3659.748,0.03081361,
3659.266,0.03064319,
3658.784,0.03049596,
3658.302,0.03039038,
3657.819,0.03032819,
3657.337,0.03029582,
3656.855,0.03026996,
3656.373,0.03022717,
3655.891,0.03015793,
3655.409,0.03007378,
3654.927,0.03000548,
3654.445,0.02998542,
3653.963,0.03003666,
3653.480,0.03017035,
3652.998,0.03039013,
3652.516,0.03069964,
3652.034,0.03110278,
3651.552,0.03160512,
3651.070,0.03219745,
3650.588,0.03283831,
3650.106,0.0334383,
3649.623,0.03385551,
3649.141,0.03395144,
3648.659,0.03367676,
3648.177,0.03312251,
3647.695,0.03246228,
3647.213,0.03184883,
3646.731,0.03136466,
